geonameid,name,latitude,longitude,admin1_code,admin2_code,population,timezone,city_id,pop_category
5750984,Seaside,45.99316,-123.92264,OR,007,6540,America/Los_Angeles,5750984,medium
5751600,Sheridan,45.09928,-123.39483,OR,071,6094,America/Los_Angeles,5751600,medium
5751632,Sherwood,45.35651,-122.8401,OR,067,19283,America/Los_Angeles,5751632,medium
5752024,Silverton,45.00512,-122.78315,OR,047,9753,America/Los_Angeles,5752024,medium
5754005,Springfield,44.04624,-123.02203,OR,039,60870,America/Los_Angeles,5754005,large
5754464,Stayton,44.80068,-122.79453,OR,047,7969,America/Los_Angeles,5754464,medium
5755474,Sutherlin,43.39012,-123.31258,OR,019,7912,America/Los_Angeles,5755474,medium
5755674,Sweet Home,44.39762,-122.7362,OR,043,9270,America/Los_Angeles,5755674,medium
5755890,Talent,42.24568,-122.78865,OR,029,6411,America/Los_Angeles,5755890,medium
5756304,The Dalles,45.59456,-121.17868,OR,065,15340,America/Los_Angeles,5756304,medium
5756758,Tigard,45.43123,-122.77149,OR,067,51253,America/Los_Angeles,5756758,large
5757477,Troutdale,45.53929,-122.38731,OR,051,16631,America/Los_Angeles,5757477,medium
5757506,Tualatin,45.38401,-122.76399,OR,067,27154,America/Los_Angeles,5757506,large
5758052,Umatilla,45.91735,-119.34252,OR,059,7009,America/Los_Angeles,5758052,medium
5759289,Warrenton,46.1651,-123.92376,OR,007,5282,America/Los_Angeles,5759289,medium
5759989,West Haven,45.51762,-122.76954,OR,067,6009,America/Los_Angeles,5759989,medium
5760009,West Linn,45.36568,-122.61231,OR,005,26593,America/Los_Angeles,5760009,large
5760068,West Slope,45.49873,-122.76454,OR,067,6554,America/Los_Angeles,5760068,medium
5760396,White City,42.43735,-122.832,OR,029,7975,America/Los_Angeles,5760396,medium
5761287,Wilsonville,45.29984,-122.77371,OR,005,22729,America/Los_Angeles,5761287,medium
5761481,Winston,43.12234,-123.41257,OR,019,5393,America/Los_Angeles,5761481,medium
5761708,Woodburn,45.14373,-122.85537,OR,047,25173,America/Los_Angeles,5761708,large
5762718,Belle Fourche,44.67137,-103.85215,SD,019,5696,America/Denver,5762718,medium
5763011,Box Elder,44.11249,-103.06823,SD,103,9289,America/Denver,5763011,medium
5767918,Pierre,44.36832,-100.35097,SD,065,14091,America/Chicago,5767918,medium
5768233,Rapid City,44.08054,-103.23101,SD,103,73569,America/Denver,5768233,large
5768244,Rapid Valley,44.06249,-103.14629,SD,103,8260,America/Denver,5768244,medium
5769288,Spearfish,44.49082,-103.85937,SD,081,11283,America/Denver,5769288,medium
5769489,Sturgis,44.40971,-103.50908,SD,093,6688,America/Denver,5769489,medium
5770732,Alpine,40.45328,-111.77799,UT,049,10235,America/Denver,5770732,medium
5771716,Bluffdale,40.48967,-111.93882,UT,035,10931,America/Denver,5771716,medium
5771826,Bountiful,40.88939,-111.88077,UT,011,43784,America/Denver,5771826,large
