FAC,LOC,GPE,time,Latitude,Longitude,state_code,state_name,county_name,county_fips,city_name,city_id,population
,,Florida,2024-09-26 03:45:49+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Florida, Georgia",2024-09-26 03:43:13+00:00,31.5876806291597,-82.57399616919007,GA,Georgia,Bacon,13005,Nicholls,4212770,3331
,,Florida,2024-09-26 03:43:06+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Tallahassee,2024-09-26 03:41:31+00:00,30.4380832,-84.2809332,FL,Florida,Leon,12073,Tallahassee,4174715,201731
"PORT CANAVERAL, Port Canaveral",,"PORT CANAVERAL, Port Canaveral",2024-09-26 03:40:23+00:00,28.4071344,-80.629588,FL,Florida,Brevard,12009,Cape Canaveral,4149959,9912
,,Blowing Rock,2024-09-26 03:39:43+00:00,36.1350245,-81.6777907,NC,North Carolina,Watauga,37189,Blowing Rock,4456376,1292
"PORT CANAVERAL, Port Canaveral",,"PORT CANAVERAL, Port Canaveral",2024-09-26 03:39:25+00:00,28.4071344,-80.629588,FL,Florida,Brevard,12009,Cape Canaveral,4149959,9912
,,Florida,2024-09-26 03:37:28+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 03:36:24+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 03:36:14+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 03:35:36+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,"Asheville, Biltmore Village",2024-09-26 03:34:53+00:00,35.56652,-82.5427537,NC,North Carolina,Buncombe,37021,Biltmore Forest,4455999,1441
,,"S.C., Spartanburg",2024-09-26 03:34:29+00:00,34.9498007,-81.9320157,SC,South Carolina,Spartanburg,45083,Spartanburg,4597200,37867
,,"Florida, Tallahassee",2024-09-26 03:33:05+00:00,30.4380832,-84.2809332,FL,Florida,Leon,12073,Tallahassee,4174715,201731
,,Florida,2024-09-26 03:32:58+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Florida,2024-09-26 03:32:36+00:00,27.7567667,-81.4639835,FL,Florida,Polk,12105,Frostproof,4156326,3134
,,Wakulla County,2024-09-26 03:30:36+00:00,30.1480038,-84.3543512,FL,Florida,Wakulla,12129,Crawfordville,4152267,3702
,,"Buncombe, NC, nc",2024-09-26 03:30:11+00:00,35.6292222,-82.5255603,NC,North Carolina,Buncombe,37021,Asheville,4453066,95056
